,Date,Target,S,err,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
403,5/25/21 9:36,TOI 2013.01,0.6392790429999999,0.039169671,,,,,,,,,,,,,,,,,,,,,,
404,2/20/21 11:15,TOI 2018.01,1.047331816,0.049289377999999995,,,,,,,,,,,,,,,,,,,,,,
405,3/3/21 9:07,TOI 2079.01,0.34883873,0.028578113999999998,,,,,,,,,,,,,,,,,,,,,,
406,1/25/22 12:37,TOI 2079.01,4.076455364,0.21123142600000003,,,,,,,,,,,,,,,,,,,,,,
407,11/13/21 0:56,TOI 2088.01,0.299209215,0.01666141,,,,,,,,,,,,,,,,,,,,,,
408,9/11/21 8:14,TOI 2093.01,0.546922748,0.036109284,,,,,,,,,,,,,,,,,,,,,,
409,5/23/21 5:41,TOI 2103.01,0.34318130700000005,0.02373008,,,,,,,,,,,,,,,,,,,,,,
410,5/25/21 9:02,TOI 2103.01,0.287583197,0.014846571999999999,,,,,,,,,,,,,,,,,,,,,,
411,3/3/21 7:24,TOI 2104.01,0.38003050899999996,0.019681953999999998,,,,,,,,,,,,,,,,,,,,,,
412,1/10/22 10:40,TOI 2104.01,0.327936025,0.016763123,,,,,,,,,,,,,,,,,,,,,,
413,2/27/22 5:38,TOI 2104.01,0.353278517,0.018222396999999998,,,,,,,,,,,,,,,,,,,,,,
414,3/3/21 8:34,TOI 2105.01,0.37093515200000005,0.019721679,,,,,,,,,,,,,,,,,,,,,,
415,1/25/22 12:07,TOI 2105.01,0.330618904,0.016704373,,,,,,,,,,,,,,,,,,,,,,
416,6/21/21 5:12,TOI 2133.01,1.211350189,0.07491389999999999,,,,,,,,,,,,,,,,,,,,,,
417,6/6/21 10:11,TOI 2134.01,0.615059461,0.033958109,,,,,,,,,,,,,,,,,,,,,,
418,6/21/21 6:41,TOI 2274.01,1.521525164,0.09043689099999999,,,,,,,,,,,,,,,,,,,,,,
419,5/29/21 10:16,TOI 2279.01,0.623041986,0.029409872000000004,,,,,,,,,,,,,,,,,,,,,,
420,6/21/21 5:39,TOI 2318.01,0.444015094,0.020975191,,,,,,,,,,,,,,,,,,,,,,
421,1/17/22 1:32,TOI 2431.01,1.280697455,0.060934682999999996,,,,,,,,,,,,,,,,,,,,,,
422,9/22/21 7:55,TOI 2443.01,0.438095519,0.02427561,,,,,,,,,,,,,,,,,,,,,,
423,1/17/22 2:02,TOI 2443.01,0.468546498,0.021767457,,,,,,,,,,,,,,,,,,,,,,
424,3/21/21 4:05,TOI 969.01,1.2188573790000001,0.062284661,,,,,,,,,,,,,,,,,,,,,,
425,10/29/21 11:29,TOI 969.01,1.13337206,0.056980798,,,,,,,,,,,,,,,,,,,,,,
426,6/7/20 6:59,TrES-4,0.150519298,0.008057286,,,,,,,,,,,,,,,,,,,,,,
427,1/6/21 11:16,WASP-106,0.211901345,0.010911138,,,,,,,,,,,,,,,,,,,,,,
428,2/11/22 10:06,WASP-106,0.156333966,0.00782251,,,,,,,,,,,,,,,,,,,,,,
429,2/6/21 11:35,WASP-107,0.83200655,0.053482682000000004,,,,,,,,,,,,,,,,,,,,,,
430,2/20/21 9:51,WASP-107,0.89305115,0.048282299,,,,,,,,,,,,,,,,,,,,,,
431,6/7/20 5:11,WASP-113,0.155728184,0.008352067,,,,,,,,,,,,,,,,,,,,,,
432,1/6/21 7:40,WASP-11,0.38414867700000005,0.024084255,,,,,,,,,,,,,,,,,,,,,,
433,10/29/21 7:00,WASP-11,0.29077153699999997,0.014689705,,,,,,,,,,,,,,,,,,,,,,
434,1/6/21 10:43,WASP-127,0.163459248,0.007508865,,,,,,,,,,,,,,,,,,,,,,
435,2/11/22 9:33,WASP-127,0.16938482800000002,0.008072737,,,,,,,,,,,,,,,,,,,,,,
436,1/5/21 10:29,WASP-13,0.158053721,0.0071791419999999995,,,,,,,,,,,,,,,,,,,,,,
437,6/7/20 4:35,WASP-14,0.16349548,0.0073766069999999994,,,,,,,,,,,,,,,,,,,,,,
438,1/16/22 3:10,WASP-156,0.244679607,0.013796466,,,,,,,,,,,,,,,,,,,,,,
439,10/31/20 9:12,WASP-35,0.171327619,0.008054986,,,,,,,,,,,,,,,,,,,,,,
440,1/18/22 4:03,WASP-35,0.184151216,0.008564905,,,,,,,,,,,,,,,,,,,,,,
441,6/7/20 5:44,WASP-38,0.159170628,0.007077600000000001,,,,,,,,,,,,,,,,,,,,,,
442,8/5/20 9:14,WASP-47,0.19616468899999998,0.011741003,,,,,,,,,,,,,,,,,,,,,,
443,10/2/20 7:28,WASP-52,0.499240699,0.025627069,,,,,,,,,,,,,,,,,,,,,,
444,1/5/21 9:56,WASP-65,0.239133896,0.011721202,,,,,,,,,,,,,,,,,,,,,,
445,1/25/22 8:44,WASP-65,0.211275221,0.010135370999999999,,,,,,,,,,,,,,,,,,,,,,
446,8/5/20 7:40,WASP-69,0.758448308,0.035183205,,,,,,,,,,,,,,,,,,,,,,
447,9/29/20 5:28,WASP-80,0.570934384,0.052149065,,,,,,,,,,,,,,,,,,,,,,
448,10/31/20 11:16,WASP-84,0.474521157,0.02209066,,,,,,,,,,,,,,,,,,,,,,
449,11/20/21 10:32,WASP-84,0.5217914539999999,0.024234462999999998,,,,,,,,,,,,,,,,,,,,,,
450,2/27/22 5:05,WASP-84,0.49932946,0.023314189,,,,,,,,,,,,,,,,,,,,,,
451,8/5/20 8:13,WASP-90,0.159657672,0.007867928,,,,,,,,,,,,,,,,,,,,,,
452,10/2/20 8:37,WASP-93,0.20825591300000001,0.009451605,,,,,,,,,,,,,,,,,,,,,,
453,11/20/21 7:35,WASP-93,0.21290142399999998,0.009943343,,,,,,,,,,,,,,,,,,,,,,
454,6/10/20 5:12,Wolf 503,0.274521595,0.013057283000000001,,,,,,,,,,,,,,,,,,,,,,
455,6/10/20 6:50,XO-1,0.219571057,0.010140509,,,,,,,,,,,,,,,,,,,,,,
456,1/5/21 8:48,XO-2 N,0.187139694,0.009041588,,,,,,,,,,,,,,,,,,,,,,
457,1/18/22 5:32,XO-2 N,0.22895576899999998,0.013167382,,,,,,,,,,,,,,,,,,,,,,
458,1/5/21 8:14,XO-4,0.165948877,0.007447455,,,,,,,,,,,,,,,,,,,,,,
459,1/18/22 5:09,XO-4,0.16485067,0.007510299000000001,,,,,,,,,,,,,,,,,,,,,,
460,2/6/21 7:28,YZ CMi,16.06528082,0.7597069879999999,,,,,,,,,,,,,,,,,,,,,,
461,1/10/22 7:47,YZ CMi,17.66553546,0.8253280409999999,,,,,,,,,,,,,,,,,,,,,,
