,pl_hostname,Gmag/Tmag,st_mass,st_rad,st_teff,SP_TYPE,ra,dec,exptime,B,V,Unnamed: 11,log R'_HK,vsini_brewer,vsini_aspcap,Prot_deriv_days,Prot_phot_days,eProt_phot_days,DR3,G,BP,RP,parallax,sp_type_mamajek,In Activity Catalogue,UT Dates observed,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
87,HD 76572,,,,,F4V,08:57:58.66707,+30:14:01.7410,1,6.69,6.24,Baliunas,-4.84,0.0,0.0,0.0,0.0,0.0,,6.12,6.38,5.75,17.7,F5V,0,11/21/2021,,,,,,,,,,,,,,,,,
88,GJ 3522,,,,,M3.5V,08:58:56.3208,+08:28:26.068,30,12.62,10.98,PMSU,-2.87,0.0,0.0,0.0,0.0,0.0,,11.26,11.73,10.65,147.7,K1V,0,1/25/2022,,,,,,,,,,,,,,,,,
89,EPIC 211945201,10.05,1.17,1.39,6070.0,,09:06:17.75,19:24:08.1,30,10.94,10.15,,-4.83,0.0,0.0,0.0,0.0,0.0,,10.05,10.35,9.63,5.5,F9V,0,1/6/2021,2/13/2022,,,,,,,,,,,,,,,,
90,HD 78366,,,,,G0IV-V,09:08:51.06887,+33:52:55.9310,1,6.53,,Baliunas,-4.39,,0.0,0.0,0.0,0.0,,5.79,6.11,5.36,52.5,F9V,0,3/31/2021,2/16/2022,,,,,,,,,,,,,,,,
91,GJ 338 A,,,,,K7V,09:14:22.77,52:41:11.8,7,9.39,,SPARCS,-4.14,0.0,,0.0,0.0,0.0,,7.05,7.98,6.13,157.9,M0V,1,2/6/2021,11/20/2021,2/13/2022,,,,,,,,,,,,,,,
92,GJ 338 B,,,,,M0V,09:14:24.68,52:41:10.9,7,7.97,,star to east,-4.1,0.0,,0.0,0.0,0.0,,6.97,7.88,6.06,157.9,K9V,1,2/6/2021,11/20/2021,2/13/2022,,,,,,,,,,,,,,,
93,WASP-13,10.38,0.72,1.37,5950.0,G1V,09:20:24.71,33:52:56.8,30,11.21,10.42,,-4.84,,,11.61,0.0,0.0,,10.38,10.69,9.93,4.4,F9V,0,1/5/2021,,,,,,,,,,,,,,,,,
94,HD 80653,9.31,1.18,1.22,5950.0,G2,09:21:21.42,14:22:04.5,30,10.12,9.45,,-4.81,0.0,0.0,0.0,0.0,0.0,,9.31,9.64,8.85,9.1,G0V,0,1/6/2021,2/13/2022,,,,,,,,,,,,,,,,
95,HD 80606,8.82,1.15,1.04,5560.0,G8V,09:22:37.57,50:36:13.4,21,9.78,9.0,,-4.85,,0.0,23.92,0.0,0.0,,8.82,9.21,8.3,15.0,G8V,0,6/10/2020,1/6/2021,11/21/2021,2/27/2022,,,,,,,,,,,,,,
96,HD 81809,,,,,G1.5IV-V,09:27:46.78707,-06:04:16.4170,1,6.02,5.4,Baliunas,-4.75,0.0,0.0,0.0,0.0,0.0,,5.12,5.56,4.71,29.6,G4V,1,3/31/2021,2/16/2022,,,,,,,,,,,,,,,,
97,HD 82443,,,,,G9V(k),09:32:43.75847,+26:59:18.8090,3,7.78,,Baliunas,-4.03,,0.0,0.0,0.0,0.0,,6.83,7.27,6.29,55.3,G9V,0,3/31/2021,3/20/2022,,,,,,,,,,,,,,,,
98,HD 82885,,,,,G8Va,09:35:39.50640,+35:48:36.7450,1,6.11,5.34,Baliunas,-4.44,,,0.0,0.0,0.0,,5.16,5.61,4.68,89.3,G8V,0,1/12/2022,,,,,,,,,,,,,,,,,
99,GJ 362,10.07,,,,M3.5V,09:42:51.7280,+70:02:21.879,30,,,PMSU,-3.95,0.0,0.0,0.0,0.0,0.0,,10.07,11.51,8.93,84.2,M3V,0,2/11/2022,,,,,,,,,,,,,,,,,
100,KELT-3,9.76,1.96,1.7,6300.0,F2,09:54:34.4,40:23:17,30,10.3,9.82,,-4.73,0.0,0.0,0.0,0.0,0.0,,9.76,10.01,9.39,4.7,F5V,0,2/11/2022,,,,,,,,,,,,,,,,,
