,pl_hostname,Gmag/Tmag,st_mass,st_rad,st_teff,SP_TYPE,ra,dec,exptime,B,V,Unnamed: 11,log R'_HK,vsini_brewer,vsini_aspcap,Prot_deriv_days,Prot_phot_days,eProt_phot_days,DR3,G,BP,RP,parallax,sp_type_mamajek,In Activity Catalogue,UT Dates observed,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
208,HD 165341 B,,,,,K4V,18:05:27.42073,+02:29:56.4140,1,7.26,6.07,Baliunas,-3.85,,0.0,0.0,0.0,0.0,,3.92,4.43,3.43,195.9,K0V,1,5/29/2021,9/18/2022,,,,,,,,,,,,,,,,
209,TOI 2134.01,7.79,,0.77,4406.0,,18:07:44.5203,+39:04:22.5368,8,,,TOI,-4.37,0.0,0.0,0.0,0.0,0.0,,8.51,9.19,7.75,44.2,K5V,1,6/6/2021,9/13/2022,,,,,,,,,,,,,,,,
210,TOI 1184.01,9.95,,0.69,4534.0,,18:08:49.0847,+60:40:43.6243,30,,,TOI,-4.29,0.0,0.0,0.0,0.0,0.0,,10.62,11.25,9.9,17.0,K4V,1,6/6/2021,9/13/2022,,,,,,,,,,,,,,,,
211,TOI 1643.01,8.66,,0.78,4763.0,,18:09:03.4179,+53:13:03.8249,18,,,TOI,-4.13,0.0,0.0,0.0,0.0,0.0,,9.28,9.83,8.61,24.5,K3V,1,6/6/2021,9/13/2022,,,,,,,,,,,,,,,,
212,HD 166620,,,,,K2V,18:09:37.41453,+38:27:27.9760,2,7.27,6.4,Baliunas,-4.85,,0.0,0.0,0.0,0.0,,6.11,6.61,5.52,90.1,K1V,1,6/6/2021,9/18/2022,,,,,,,,,,,,,,,,
213,TOI 1301.01,10.52,,0.73,4820.0,,18:23:27.0104,+71:34:54.2926,30,,,TOI,-4.21,0.0,0.0,0.0,0.0,0.0,,11.14,11.68,10.47,11.0,K2V,1,8/20/2021,9/18/2022,,,,,,,,,,,,,,,,
214,TOI 2274.01,10.35,,0.63,3943.0,,18:29:50.2346,+40:32:29.082,30,,,TOI,-4.1,0.0,0.0,0.0,0.0,0.0,,11.27,12.18,10.36,20.4,K9V,1,6/21/2021,7/29/2022,,,,,,,,,,,,,,,,
215,Kepler-102,11.48,0.81,0.76,4910.0,K3V,18:45:55.86,47:12:28.9,30,12.58,12.07,,-4.39,,,24.74,26.4,0.48,,11.48,12.04,10.8,9.2,K3V,1,9/27/2020,11/7/2022,,,,,,,,,,,,,,,,
216,Kepler-410 A,9.38,1.21,1.35,6270.0,F6IV,18:52:36.17,45:08:23.4,30,9.95,9.5,,-4.89,,,4.93,20.85,0.09,,9.37,9.63,8.98,6.7,F6V,0,,11/13/2021,,,,,,,,,,,,,,,,
217,KELT-8,10.67,0.81,1.46,5750.0,F8,18:53:13.32,24:07:38.6,30,11.55,10.84,NE star ,-4.84,,0.0,24.62,0.0,0.0,,10.67,11.05,10.16,5.0,G7V,0,9/27/2020,,,,,,,,,,,,,,,,,
218,Kepler-37,9.55,0.87,0.79,5420.0,G8V,18:56:14.32,44:31:05.3,30,10.45,9.77,,-4.6,,,17.04,0.0,0.0,,9.55,9.95,9.02,15.6,G8V,0,9/27/2020,,,,,,,,,,,,,,,,,
219,Kepler-408,8.7,1.08,1.23,6100.0,F8V,18:59:08.68,48:25:23.6,20,9.34,8.83,,-4.88,,,11.97,12.41,0.3,,8.7,8.99,8.29,11.2,F8V,0,9/27/2020,,,,,,,,,,,,,,,,,
220,Kepler-10,10.92,0.91,1.06,5710.0,G2V,19:02:43.05,50:14:28.7,30,,,,-4.47,0.0,,23.06,18.2,1.58,,10.92,11.27,10.43,5.4,G3V,0,9/29/2020,,,,,,,,,,,,,,,,,
221,TOI 1450.01,10.03,,0.47,3407.0,,19:07:24.975,+59:05:11.8514,30,,,TOI,-4.58,0.0,0.0,0.0,0.0,0.0,,11.24,12.64,10.09,44.5,M3V,1,6/21/2021,9/18/2022,,,,,,,,,,,,,,,,
222,HD 178428,,,,,G4.5V,19:07:57.32160,+16:51:12.1900,1,6.77,,Baliunas,-4.88,0.0,0.0,0.0,0.0,0.0,,5.89,6.28,5.41,46.8,G6V,0,6/21/2021,,,,,,,,,,,,,,,,,
223,Kepler-21,8.13,1.41,1.9,6300.0,F6IV,19:09:26.84,38:42:50.5,11,8.77,8.25,,-4.54,0.0,,12.08,12.53,0.17,,8.13,8.41,7.72,9.2,F7V,0,7/6/2020,,,,,,,,,,,,,,,,,
224,Kepler-444,8.64,0.76,0.75,5050.0,K0V,19:19:00.55,41:38:04.6,18,9.67,8.86,,-4.88,,0.0,189.72,49.4,6.04,,8.64,9.09,8.06,27.4,K1V,1,11/13/2021,11/7/2022,,,,,,,,,,,,,,,,
225,Kepler-68,9.93,1.08,1.24,5790.0,G1V,19:24:07.75,49:02:25,30,10.73,10.08,,-4.84,0.0,,21.9,0.0,0.0,,9.93,10.27,9.46,6.9,G1V,0,9/27/2020,,,,,,,,,,,,,,,,,
226,HD 182572,,,,,G7IVHdel1,19:24:58.20027,+11:56:39.9410,1,5.93,,Baliunas,-5.01,,0.0,0.0,0.0,0.0,,4.94,5.37,4.47,66.8,G8V,0,6/21/2021,,,,,,,,,,,,,,,,,
227,TOI 1280.01,10.64,,0.75,4665.0,,19:25:51.6774,+61:46:34.1519,30,,,TOI,-4.25,0.0,0.0,0.0,0.0,0.0,,10.8,11.1,10.31,10.8,G0V,1,8/20/2021,11/7/2022,,,,,,,,,,,,,,,,
228,HD 185144,,,,,K0V,19:32:21.59207,+69:39:40.1900,1,5.46,4.68,Baliunas,-4.62,,,0.0,0.0,0.0,,4.38,4.88,3.9,173.5,G9V,1,8/20/2021,9/13/2022,,,,,,,,,,,,,,,,
229,Kepler-409,9.39,0.92,0.89,5460.0,K0V,19:34:43.01,46:51:10,30,10.36,9.64,,-4.82,,,16.58,,,,9.39,9.81,8.85,14.6,G9V,1,9/27/2020,9/13/2022,,,,,,,,,,,,,,,,
230,HD 187013,,,,,F5.5IV-V,19:46:25.59960,+33:43:39.2700,1,5.46,,Baliunas,-4.9,,0.0,0.0,0.0,0.0,,4.84,5.14,4.51,47.8,F5V,0,6/21/2021,,,,,,,,,,,,,,,,,
231,Kepler-96,10.3,1.0,1.02,5690.0,G2V,19:48:16.71,40:31:30.5,30,11.25,10.57,,-4.4,,,17.83,14.86,0.23,,10.3,10.66,9.81,8.1,G4V,0,9/27/2020,,,,,,,,,,,,,,,,,
232,HAT-P-11,9.15,,,4757.0,K4V,19:50:50.25,48:04:51.10,29,,,,-4.34,0.0,,0.0,29.31,0.49,,9.15,9.74,8.47,26.5,K3V,1,9/11/2021,,,,,,,,,,,,,,,,,
233,HD 189733,7.41,0.79,0.75,5050.0,K2V,20:00:43.71,22:42:39.1,5,8.58,7.65,,-4.15,,0.0,11.16,0.0,0.0,,7.41,7.91,6.81,50.6,K2V,1,7/2/2020,9/27/2020,9/13/2022,,,,,,,,,,,,,,,
234,HD 190007,,,,,K5V,20:02:47.04673,+03:19:34.2590,4,8.6,,Baliunas,-4.24,0.0,0.0,0.0,0.0,0.0,,7.06,7.7,6.34,78.6,K4V,1,8/20/2021,9/18/2022,,,,,,,,,,,,,,,,
235,HD 190360,,,,,G7IV-V,20:03:37.40547,+29:53:48.4120,1,6.44,,Baliunas,-4.88,,0.0,0.0,0.0,0.0,,5.53,5.94,5.03,62.4,G8V,0,8/20/2021,9/13/2022,,,,,,,,,,,,,,,,
236,TOI 2093.01,10.67,,0.73,4455.0,,20:10:57.0055,+70:52:10.7514,30,,,TOI,-4.42,0.0,0.0,0.0,0.0,0.0,,11.37,12.03,10.62,12.0,K4V,1,9/11/2021,9/13/2022,,,,,,,,,,,,,,,,
237,WASP-80,11.27,0.58,0.59,4140.0,K7V-M0V,20:12:40.18,-02:08:39.1,30,12.81,11.94,,-4.65,0.0,0.0,0.0,0.0,0.0,,11.27,12.17,10.37,20.1,K9V,1,9/29/2020,9/18/2022,,,,,,,,,,,,,,,,
238,WASP-2,11.56,0.9,0.87,5180.0,K1.5,20:30:54.13,06:25:46.3,30,13.0,11.98,,-4.69,,0.0,440.15,0.0,0.0,,11.56,12.05,10.95,6.5,K2V,1,9/18/2022,,,,,,,,,,,,,,,,,
239,GJ 1257,9.33,,,,K6Ve,20:41:42.2464,-22:19:20.517,30,11.1,9.91,PMSU,-4.78,0.0,0.0,0.0,0.0,0.0,,9.33,10.11,8.49,41.4,K6V,1,9/18/2022,,,,,,,,,,,,,,,,,
240,WASP-69,9.49,0.98,0.86,4700.0,,21:00:06.19,-05:05:39.9,30,10.93,9.87,,-4.11,0.0,0.0,0.0,0.0,0.0,,9.48,10.05,8.82,20.0,K3V,1,8/5/2020,9/18/2022,,,,,,,,,,,,,,,,
241,WASP-90,11.46,1.55,1.98,6430.0,F6,21:02:07.67,07:03:22.4,30,,,,-4.83,0.0,0.0,0.0,0.0,0.0,,11.46,11.76,11.02,2.1,F9V,0,8/5/2020,7/29/2022,,,,,,,,,,,,,,,,
242,HD 201091,,,,,K5V,21:06:53.9396100677,+38:44:30.9620,1,6.39,5.21,Baliunas,-4.45,0.0,0.0,0.0,0.0,0.0,,4.72,5.46,4.01,286.0,K5V,1,8/20/2021,7/29/2022,,,,,,,,,,,,,,,,
243,HD 201092,,,,,K7V,21:06:55.26987,+38:44:31.5890,1,7.4,6.03,Baliunas,-4.28,0.0,,0.0,0.0,0.0,,5.42,6.29,4.59,286.0,K7V,1,8/20/2021,,,,,,,,,,,,,,,,,
244,HAT-P-17,10.27,0.99,0.87,5250.0,G0,21:38:08.74,30:29:19.4,30,11.33,10.38,,-4.83,,0.0,44.02,0.0,0.0,,10.27,10.71,9.7,10.8,K1V,0,8/5/2020,,,,,,,,,,,,,,,,,
245,TOI 1759.01,9.93,,0.63,3960.0,,21:47:24.3988,+62:45:13.7389,30,,,TOI,-4.29,0.0,0.0,0.0,0.0,0.0,,10.84,11.74,9.93,24.9,K9V,1,9/11/2021,7/29/2022,,,,,,,,,,,,,,,,
246,HD 209458,7.51,1.23,1.19,6090.0,F9V,22:03:10.77,18:53:03.5,6,8.21,7.63,,-4.83,,0.0,18.24,0.0,0.0,,7.51,7.81,7.09,20.7,F9V,0,8/2/2020,,,,,,,,,,,,,,,,,
247,WASP-47,11.79,1.04,1.14,5550.0,,22:04:48.73,-12:01:08,30,,11.99,,-4.7,0.0,0.0,0.0,0.0,0.0,,11.79,12.2,11.24,3.7,G9V,0,8/5/2020,,,,,,,,,,,,,,,,,
248,GJ 849,10.37,,,,M3.5V,22:09:39.8568,-04:38:27.816,30,11.87,10.37,MUSCLES,-4.55,0.0,0.0,0.0,0.0,0.0,,9.22,10.63,8.09,113.4,M3V,1,9/22/2021,7/29/2022,,,,,,,,,,,,,,,,
249,K2-65,10.8,0.87,0.84,5210.0,K2V,22:12:50.82,-10:55:31.4,30,11.59,10.8,,-4.43,0.0,0.0,0.0,31.5,8.35,,10.42,10.95,9.76,15.6,K2V,1,9/29/2020,9/18/2022,,,,,,,,,,,,,,,,
250,TOI 1410.01,10.19,,0.78,4635.0,,22:19:31.8837,+42:33:37.1306,30,,,TOI,-4.49,0.0,0.0,0.0,0.0,0.0,,10.87,11.51,10.14,13.7,K4V,1,8/20/2021,11/7/2022,,,,,,,,,,,,,,,,
251,EV Lac,9.0,,,3742.0,M4.0V,22:46:49.73,+44:20:02.37,25,11.85,10.26,PMSU,-3.52,0.0,,0.0,0.0,0.0,,9.0,10.54,7.81,198.0,M3V,1,9/11/2021,9/13/2022,,,,,,,,,,,,,,,,
252,HAT-P-8,10.15,1.27,1.57,6200.0,F8V,22:52:09.86,35:26:49.6,30,10.77,10.36,,-4.83,0.0,0.0,0.0,0.0,0.0,,10.15,10.44,9.73,4.7,F8V,0,9/29/2020,11/13/2021,,,,,,,,,,,,,,,,
253,GJ 876,10.19,,,,M3.5V,22:53:17.0784,-14:15:45.252,30,11.75,10.19,MUSCLES,-4.8,0.0,0.0,0.0,31.31,8.15,,8.88,10.48,7.66,214.0,M3.5V,1,11/13/2021,9/18/2022,,,,,,,,,,,,,,,,
254,HD 217014,,,,,G2IV,22:57:27.98087,+20:46:07.7700,1,6.16,5.46,Baliunas,-4.79,,0.0,0.0,0.0,0.0,,5.26,5.64,4.82,64.6,G1V,0,11/13/2021,,,,,,,,,,,,,,,,,
255,HAT-P-1,10.18,1.15,1.17,5980.0,G0V,22:57:46.83,38:40:29.8,30,10.82,9.87,,-4.91,0.0,0.0,0.0,0.0,0.0,,9.61,9.91,9.17,6.2,F9V,0,9/27/2020,,,,,,,,,,,,,,,,,
256,TOI 1423.01,10.92,,0.7,4993.0,,22:58:26.3161,+39:39:31.3642,30,,,TOI,-4.68,0.0,0.0,0.0,0.0,0.0,,11.51,12.01,10.87,8.9,K2V,1,9/11/2021,11/7/2022,,,,,,,,,,,,,,,,
257,TOI 1424.01,10.52,,0.8,4529.0,,22:59:37.7442,+36:31:03.5989,30,,,TOI,-4.44,0.0,0.0,0.0,0.0,0.0,,11.17,11.78,10.48,11.5,K3V,1,8/20/2021,11/7/2022,,,,,,,,,,,,,,,,
258,TOI 1544.01,10.41,,,4630.0,,23:05:23.3666,+46:54:11.2208,30,,,TOI,-4.97,0.0,0.0,0.0,0.0,0.0,,11.1,11.73,10.36,1.1,K4V,1,8/20/2021,11/7/2022,,,,,,,,,,,,,,,,
259,HD 219134,5.21,0.81,0.78,4700.0,K3V,23:13:16.98,57:10:06.1,3,6.56,5.57,,-4.63,0.0,0.0,0.0,0.0,0.0,,5.21,5.79,4.58,152.9,K3V,1,8/2/2020,11/7/2022,,,,,,,,,,,,,,,,
260,WASP-52,11.95,0.87,0.79,5000.0,K2V,23:13:58.74,08:45:40.5,30,12.9,12.0,,-4.17,0.0,0.0,0.0,0.0,0.0,,11.95,12.44,11.33,5.7,K2V,1,10/2/2020,9/18/2022,,,,,,,,,,,,,,,,
261,K2-285,11.8,0.83,0.79,4980.0,,23:17:32.23,01:18:01,30,12.87,11.75,,-4.25,0.0,0.0,0.0,0.0,0.0,,11.8,12.28,11.19,6.4,K1V,1,9/18/2022,,,,,,,,,,,,,,,,,
262,HD 219834 B,,,,,K2,23:19:06.37347,-13:27:18.0070,5,,,Baliunas,-4.65,,0.0,0.0,0.0,0.0,,7.34,7.82,6.76,44.5,K1V,1,11/13/2021,9/18/2022,,,,,,,,,,,,,,,,
263,HD 219834 A,,,,,G8.5IV,23:19:06.51647,-13:27:30.4130,1,5.95,5.18,Baliunas,-4.86,0.0,0.0,0.0,0.0,0.0,,4.91,5.4,4.47,44.9,G8V,1,11/13/2021,9/18/2022,,,,,,,,,,,,,,,,
264,K2-141,10.72,0.71,0.68,4600.0,K7V,23:23:39.97,-01:11:21.4,30,12.14,11.45,,-4.1,0.0,0.0,0.0,7.06,0.0,,10.72,11.37,9.98,16.1,K4V,1,9/29/2020,11/13/2021,9/18/2022,,,,,,,,,,,,,,,
265,GJ 9827,9.84,0.61,0.6,4340.0,K6V,23:27:04.83,-01:17:10.6,30,11.57,10.1,,-4.32,0.0,0.0,0.0,0.0,0.0,,9.84,10.6,9.02,33.7,K6V,1,9/27/2020,11/13/2021,9/18/2022,,,,,,,,,,,,,,,
266,GJ 4337,10.71,,,,M2.9V,23:29:23.4745,+41:28:06.732,30,,,PMSU,-3.51,0.0,0.0,0.0,0.0,0.0,,10.71,12.17,9.55,67.0,M3V,0,11/13/2021,,,,,,,,,,,,,,,,,
267,GJ 1284,9.92,,,,M2Ve,23:30:13.4384,-20:23:27.448,30,12.58,11.11,PMSU,-3.75,0.0,0.0,0.0,0.0,0.0,,9.92,11.34,8.79,62.7,M3V,0,11/13/2021,,,,,,,,,,,,,,,,,
268,EQ Peg,9.04,,,3585.0,M4+M5,23:31:52,19:56:14.128443009,26,11.75,10.16,PMSU,-3.44,0.0,0.0,0.0,0.0,0.0,,9.04,10.54,7.87,159.7,M3V,0,10/11/2021,,,,,,,,,,,,,,,,,
269,GJ 897,9.74,,,,M3Ve,23:32:46.8041,-16:45:07.240,30,11.86,10.38,PMSU,-3.5,0.0,0.0,0.0,0.0,0.0,,9.74,10.58,8.23,5.2,M2V,0,11/13/2021,,,,,,,,,,,,,,,,,
270,HIP 116454,9.93,0.81,0.72,5090.0,K0,23:35:49.28,00:26:43.9,30,11.1,,,-4.51,0.0,0.0,0.0,0.0,0.0,,9.93,10.41,9.33,16.0,K1V,1,8/2/2020,10/29/2021,,,,,,,,,,,,,,,,
271,HAT-P-6,10.31,1.79,1.62,6570.0,F8V,23:39:05.81,42:27:57.5,30,10.88,10.47,,-4.62,0.0,0.0,0.0,0.0,0.0,,10.31,10.54,9.95,3.6,F5V,0,8/2/2020,10/29/2021,,,,,,,,,,,,,,,,
